Category,Created,Index Updated,Name,Number of Downloads,Number of Views,Tags,URL,View Last Modified,4/30/18 - time created(days),4/30/18 - time rows updated(days)
City Infrastructure,1348534308,1524844122,Street Tree List,7134,12167,"['trees', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Street-Tree-List/tkzw-k3nq,1524928052,2043,2
City Management and Ethics,1335804894,1524843217,Campaign Finance - FPPC Form 460 - Summary Totals,1462,12126,"['ethics', 'campaign', 'finance', 'summary', 'fppc', 'form', '460', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Summary-Totals/4tts-fyix,1524927997,2190,2
City Management and Ethics,1332976336,1499282021,Campaign Finance - Data Key,1368,2928,"['data', 'key', 'campaign', 'finance', 'public', 'statistics', 'dataset']",https://data.sfgov.org/Ethics/Campaign-Finance-Data-Key/wygs-cc76,1499281884,2223,2223
City Management and Ethics,1335484709,1521038817,[Known Issue] Lobbyist Activity - Contacts of Public Officials,2170,11220,"['ethics', 'lobbyist', 'contacts', 'public official', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/-Known-Issue-Lobbyist-Activity-Contacts-of-Public-/hr5m-xnxc,1524927831,2194,78
Housing and Buildings,1419361914,1524919501,Eviction Notices,3234,9675,"['rent control', 'protected status', 'eviction notices', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Eviction-Notices/5cei-gny5,1524918882,1223,1
Public Safety,1450476910,1524914410,Fire Incidents,2756,8902,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Public-Safety/Fire-Incidents/wr8u-xric,1524914100,863,1
City Management and Ethics,1517443677,1524915300,Dataset Alerts,644,8721,"['issues', 'incidents', 'dataset monitoring', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Dataset-Alerts/vx35-bnbs,1517852241,88,1
City Infrastructure,1401483955,1520373121,"311 Top Articles Referenced (historical, through August 2017)",1074,8444,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/311-Top-Articles-Referenced-historical-through-Aug/hrr4-hjc6,1520370754,1430,173
City Management and Ethics,1513200066,1523044574,"311 Top Articles Referenced (current, from Nov. 2017 forward)",298,722,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/311-Top-Articles-Referenced/3tsy-c2sd,1523044547,137,23
Geographic Locations and Boundaries,1471024637,1524921072,Addresses with Units - Enterprise Addressing System (EAS),1446,7999,"['eas', 'addresses', 'dbi', 'enterprise addressing system', 'city reference data', 'ref:basemap', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Geographic-Locations-and-Boundaries/Addresses-with-Units-Enterprise-Addressing-System-/dxjs-vqsy,1524920403,625,1
City Infrastructure,1403722192,1522716419,311 Call Metrics by Month,1667,7916,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/311-Call-Metrics-by-Month/mwjb-biik,1522716414,1404,27
City Infrastructure,1348529454,1524928701,Street-Use Permits,2875,7261,"['permits', 'tables', 'chairs', 'mobile', 'food', 'truck', 'display', 'surface', 'mounted', 'excavation', 'temporary', 'occupancy', 'row', 'banner', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Street-Use-Permits/b6tj-gt35,1524928243,2043,1
Health and Social Services,1446047856,1524384139,Restaurant Scores - LIVES Standard,8048,7031,"['lives', 'san francisco', 'environmental health', 'department of public health', 'dph', 'sfdph', 'restaurant scores', 'sanitary scores', 'inspections', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Health-and-Social-Services/Restaurant-Scores-LIVES-Standard/pyih-qa8i,1524384031,914,7
Housing and Buildings,1458591141,1518551647,Assessor Historical Secured Property Tax Rolls,3040,6941,"['valuation', 'property', 'property tax', 'property value', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Assessor-Historical-Secured-Property-Tax-Rolls/wv5m-vpq2,1518550119,769,397
City Management and Ethics,1321142441,1442359214,Salary Ranges by Job Classification,5724,6841,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Salary-Ranges-by-Job-Classification/7h4w-reyq,1458062593,2360,2360
City Management and Ethics,1469114349,1524585587,Expenditure Lobbyists Registration and Monthly Disclosure Reports,873,6794,"['expenditure lobbyist registration lobbying disclosure reports', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Expenditure-Lobbyists-Registration-and-Monthly-Dis/nkxk-d459,1522952856,647,24
City Management and Ethics,1335754623,1524928831,Campaign Finance - FPPC Form 460 - Schedule A - Monetary Contributions,2496,6291,"['ethics', 'campaign', 'finance', 'monetary', 'contributions', 'fppc', 'form', '460', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-A-Monetary/q66q-d2tr,1524927970,2191,1
Geographic Locations and Boundaries,1367949800,1471887390,Supervisor District to ZIP Code Crosswalk,1637,6202,"['supervisor', 'district', 'zip code', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Geographic-Locations-and-Boundaries/Supervisor-District-to-ZIP-Code-Crosswalk/v22h-ujnv,1471970246,1818,1818
Housing and Buildings,1454628721,1524777173,Mayor's Office of Housing and Community Development Affordable Rental Portfolio,1233,5413,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Mayor-s-Office-of-Housing-and-Community-Developmen/9rdx-httc,1524776670,815,67
City Management and Ethics,1438123411,1504119220,Lobbyists on Behalf of the City Disclosure Reports,718,5347,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Lobbyists-on-Behalf-of-the-City-Disclosure-Reports/sz7b-c3pn,1504022114,1006,243
Culture and Recreation,1321380888,1430937442,Recreation & Park Department Park Info Dataset,3488,5289,"['recreation', 'parks', 'playgrounds', 'stadiums', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Culture-and-Recreation/Recreation-Park-Department-Park-Info-Dataset/z76i-7s65,1458062636,2357,1731
City Management and Ethics,1364935607,1524406409,Spending And Revenue,1583,5150,"['spending', 'revenue', 'amount', 'sfopenbook', 'open book', 'openbook', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Spending-And-Revenue/bpnb-jwfb,1518037974,1853,7
Housing and Buildings,1461205856,1524393072,Building Permits,5122,5052,"['construction permits', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Building-Permits/i98e-djp9,1524942339,739,7
Public Safety,1452549028,1524924642,Police Department Calls for Service,6180,4951,"['crime', '911', 'emergency calls', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Public-Safety/Police-Department-Calls-for-Service/hz9m-tj6z,1524920403,839,1
Economy and Community,1348528688,1524928520,Mobile Food Schedule,7546,4833,"['mobile', 'food', 'trucks', 'schedule', 'permits', 'facility', 'mff', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Economy-and-Community/Mobile-Food-Schedule/jjew-r69b,1524927882,2043,1
Economy and Community,1348529041,1524928515,Mobile Food Facility Permit,49373,17901,"['mobile', 'food', 'permits', 'truck', 'facility', 'mff', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/d/rqzj-sfat,1524927862,2043,1
City Management and Ethics,1407268244,1508796776,Employee Compensation,3139,4751,"['spending', 'fte', 'staffing', 'sfopenbook', 'open book', 'openbook', 'employee', 'compensation', 'salary', 'salaries', 'benefits', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Employee-Compensation/88g8-5mnd,1501025521,1363,188
Transportation,1461109883,1517875538,Air Traffic Passenger Statistics,7720,4717,"['passengers', 'airport', 'travel', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/Air-Traffic-Passenger-Statistics/rkru-6vcg,1517875447,740,83
Culture and Recreation,1320880607,1479342922,SF Civic Art Collection,4583,4551,"['civic art collection', 'historic monuments', 'public art', 'san francisco arts commission', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Culture-and-Recreation/SF-Civic-Art-Collection/zfw6-95su,1484335195,2363,2363
Geographic Locations and Boundaries,1371763688,1524236590,List of Streets and Intersections,2692,4315,"['allcnnsinorder', 'street', 'intersection', 'cnn', 'gis', 'basemap', 'all', 'order', 'cnns', 'in', 'city reference data', 'ref:basemap', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Geographic-Locations-and-Boundaries/List-of-Streets-and-Intersections/pu5n-qu5c,1524927606,1774,9
Housing and Buildings,1451344650,1524917424,Buyout agreements,1082,4289,"['buyouts', 'rent control', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Buyout-agreements/wmam-7g8d,1524916858,853,1
City Management and Ethics,1369940332,1502404506,Budget,1431,3605,"['budget', 'sfopenbook', 'open book', 'openbook', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Budget/xdgd-c79v,1501025432,1795,262
City Management and Ethics,1395871138,1524405603,Vendor Payments (Purchase Order Summary),1224,3404,"['spending', 'amount', 'vendor', 'purchase order', 'sfopenbook', 'open book', 'openbook', 'procurement contract', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Vendor-Payments-Purchase-Order-Summary-/p5r5-fd7g,1520268550,1495,7
City Management and Ethics,1335668710,1524928805,Campaign Finance - FPPC Form 497 - Late Contribution Report - Late Contributions Made,2489,3227,"['ethics', 'campaign', 'finance', 'fppc', 'form', '497', 'late', 'monetary', 'contribution', 'non-monetary', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-497-Late-Contribution-R/xdap-cuq4,1524927991,2192,1
City Management and Ethics,1453333192,1524553467,Scorecard Measures,1239,2971,"['scorecards', 'performance', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Scorecard-Measures/kc49-udxn,1524898815,830,5
City Management and Ethics,1427394176,1524915306,Dataset inventory,3835,2946,"['inventory', 'open data', 'catalog', 'ref:inventory', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Dataset-inventory/y8fp-fbf5,1520463322,1130,1
City Management and Ethics,1332976336,1499282021,Campaign Finance - Data Key,1368,2928,"['data', 'key', 'campaign', 'finance', 'public', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Data-Key/wygs-cc76,1499281884,2223,2223
Transportation,1326236485,1514924011,2011 SFO Customer Survey,1453,2856,"['sfo', 'airport', 'customer', 'survey', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/2011-SFO-Customer-Survey/v94x-pf9r,1514923892,2301,2243
City Infrastructure,1344034454,1524756436,Utility Excavation Moratorium Streets,1638,2820,"['excavation', 'paving', 'moratorium', 'permits', 'utilities', '5', 'five', 'year', 'plan', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Utility-Excavation-Moratorium-Streets/5wbp-dwzt,1524927901,2095,3
City Infrastructure,1365658451,1524409456,Envista Projects for Utility Excavation and Paving,1748,2757,"['utility', 'excavation', 'paving', 'envista', 'utilities', 'construction', 'noi', 'five', '5', 'year', 'plan', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Envista-Projects-for-Utility-Excavation-and-Paving/sf93-6dmr,1524927704,1845,7
City Infrastructure,1472849907,1524776422,City Facilities,765,2752,"['facility', 'public buildings', 'public facilities', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/City-Facilities/nc68-ngbr,1524775979,604,3
City Management and Ethics,1335763820,1524843231,Campaign Finance - FPPC Form 460 - Schedule E - Payments Made,1883,2587,"['ethics', 'campaign', 'finance', 'payments', 'expenditures', 'fppc', 'form', '460', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-E-Payments/hc26-j9if,1524928114,2191,2
City Infrastructure,1348527047,1516982697,Curb Ramps,1333,2555,"['curb', 'ramps', 'ada', 'disability', 'access', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Curb-Ramps/ch9w-7kih,1524927648,2043,93
City Management and Ethics,1321142902,1486594153,Full Time Employees By Job Classification,1459,2507,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Full-Time-Employees-By-Job-Classification/uk3k-9ai5,1486593417,2360,2360
Housing and Buildings,1469135655,1523557226,Affordable Housing Pipeline,941,2497,"['mohcd', 'ocii', 'affordable housing', 'pipeline', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Affordable-Housing-Pipeline/aaxw-2cb8,1523557077,647,17
Housing and Buildings,1461376961,1493691577,SF Development Pipeline 2016 Q1,1340,2329,"['planning', 'development', 'construction', 'residential', 'commercial', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2016-Q1/dtz9-jkjt,1493689767,737,363
Geographic Locations and Boundaries,1470961620,1524920206,Addresses - Enterprise Addressing System,931,2278,"['eas', 'addresses', 'dbi', 'enterprise addressing system', 'city reference data', 'ref:basemap', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Geographic-Locations-and-Boundaries/Addresses-Enterprise-Addressing-System/sr5d-tnui,1524919481,626,1
City Infrastructure,1391730568,1524409417,Envista Projects for Paving,2178,2243,"['utility', 'excavation', 'paving', 'envista', 'utilities', 'construction', 'noi', 'five', '5', 'year', 'plan', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Envista-Projects-for-Paving/bxqh-5px8,1524927737,1543,7
City Management and Ethics,1335483353,1521038756,[Known Issue] Lobbyist Activity - Political Contributions,2535,2231,"['ethics', 'lobbyist', 'contribution', 'candidate', 'ballot measure', 'committee', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/-Known-Issue-Lobbyist-Activity-Political-Contribut/sa8r-purn,1524927854,2194,78
City Management and Ethics,1335800294,1524843213,"Campaign Finance - FPPC Form 461 - Major Donor and Independent Expenditure Committee Statement - Part 5 - Contributions (Including Loans, Forgiveness of Loans, and Loan Guarantees) and Expenditures Made",2529,2215,"['ethics', 'campaign', 'finance', 'contributions', 'expenditures', 'major', 'donor', 'independent', 'expenditure', 'committee', 'fppc', 'form', '461', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-461-Major-Donor-and-Ind/86nq-bynj,1524928013,2190,2
City Management and Ethics,1335484976,1521038771,[Known Issue] Lobbyist Activity - Payments Promised By Clients,1930,2178,"['ethics', 'lobbyist', 'payments', 'promised', 'clients', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/-Known-Issue-Lobbyist-Activity-Payments-Promised-B/s2fy-y3my,1524927859,2194,78
Health and Social Services,1421976514,1486594344,Community Resiliency Indicator System,2436,2140,"['san francisco&#39;s climate &amp; health program', 'sfclimatehealth.org', 'community resiliency', 'san francisco indicator project', 'community resiliency system', 'san francisco', 'environmental health', 'department of public health', 'dph', 'sfdph', 'sfphes', 'phes', '@sfclimatehealth', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Health-and-Social-Services/Community-Resiliency-Indicator-System/banc-xdvr,1486593651,1193,1193
Transportation,1394486086,1442356331,Meter Operating Schedules,1262,2134,"['meters', 'parking', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/Meter-Operating-Schedules/6cqg-dxku,1458062926,1511,1511
City Infrastructure,1348534383,1524756439,Streets Data - Pavement Condition Index (PCI) Scores,1879,2065,"['paving', 'pci', 'score', 'streets', 'condition', 'index', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Streets-Data-Pavement-Condition-Index-PCI-Scores/5aye-4rtt,1524927927,2043,3
City Infrastructure,1348531754,1524928544,Right of Way Exception Data,1432,2037,"['exceptions', 'street', 'restrictions', 'permits', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Right-of-Way-Exception-Data/yrgu-vakm,1524927809,2043,1
City Management and Ethics,1335802662,1524843221,Campaign Finance - FPPC Form 460 - Schedule G - Payments Made by an Agent or Independent Contractor,2096,1980,"['ethics', 'campaign', 'finance', 'payments', 'agent', 'independent', 'contractor', 'fppc', 'form', '460', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-G-Payments/6iqh-u3hk,1524928082,2190,2
City Management and Ethics,1335759371,1524843224,"Campaign Finance - FPPC Form 460 - Schedule D - Summary of Expenditures Supporting/Opposing Other Candidates, Measures and Committees",1760,1966,"['ethics', 'campaign', 'finance', 'fppc', 'form', '460', 'expenditures', 'support', 'oppose', 'candidates', 'measures', 'committees', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-D-Summary-/i8us-xn7t,1524928128,2191,2
City Infrastructure,1348529687,1524842860,Utility Excavation Permits,1916,1952,"['excavation', 'paving', 'utilities', '5', 'year', 'plan', 'permits', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Utility-Excavation-Permits/smdf-6c45,1524841400,2043,2
Transportation,1461632977,1517875351,Air Traffic Landings Statistics,1988,1915,"['landings', 'airlines', 'airport', 'flights', 'sfo', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/Air-Traffic-Landings-Statistics/fpux-q53t,1517875256,734,83
City Management and Ethics,1332785790,1503090881,Campaign Finance - Filers With Delinquent Campaign Filings,1183,1877,"['nr', 'non-responsive', 'campaign', 'finance', 'disclosure', 'enforcement', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-Filers-With-Delinquent-Campaign-F/jb8g-e374,1503090874,2225,254
City Management and Ethics,1325770898,1439234478,List of Historical Ballot Measures,1318,1851,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/List-of-Historical-Ballot-Measures/xzie-ixjw,1458062892,2306,2306
Housing and Buildings,1493612493,1514925669,SF Development Pipeline 2017 Q1,719,1822,"['planning', 'development', 'construction', 'residential', 'commercial', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2017-Q1/7qzr-p6xn,1514925627,364,362
Transportation,1338785271,1442441475,Metered motorcycle spaces,1483,1816,"['sfmta', 'sfpark', 'motorcycles', 'meters', 'parking', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/Metered-motorcycle-spaces/uf55-k7py,1458062840,2156,1818
City Infrastructure,1446048875,1524946669,"Stormwater inlets, drains and catch basins",1484,1805,"['catch basin', 'stormwater', 'catchment basin', 'storm drain', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Stormwater-inlets-drains-and-catch-basins/jtgq-b7c5,1524945609,914,1
City Management and Ethics,1346953660,1524597183,Campaign Finance - SFEC 1.126 Notification of Contract Approval Filings,2215,1799,"['ethics', 'contracts', 'campaign finance', 'notification', 'contribution', 'limits', 'contractors', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-SFEC-1-126-Notification-of-Contra/sn2k-q974,1522449353,2061,5
City Management and Ethics,1335756551,1524843220,Campaign Finance - FPPC Form 460 - Schedule C - Non-Monetary Contributions,2093,1786,"['ethics', 'campaign', 'finance', 'in-kind', 'non-monetary', 'contributions', 'fppc', 'form', '460', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-C-Non-Mone/k76b-4yme,1524928096,2191,2
Housing and Buildings,1334266063,1514675334,SF Development Pipeline 2012 Q1,1152,1779,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2012-Q1/v5p2-emnu,1514675317,2208,2208
Culture and Recreation,1374772729,1524958284,Current San Francisco Advisories,75183,1773,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Culture-and-Recreation/Current-San-Francisco-Advisories/qn4d-bra2,1524959166,1739,1
Transportation,1388701661,1514924212,2013 SFO Customer Survey,1743,1769,"['sfo', 'airport', 'customer', 'survey', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Transportation/2013-SFO-Customer-Survey/mjr8-p6m5,1514924136,1578,1578
City Management and Ethics,1335801603,1524843215,Campaign Finance - FPPC Form 460 - Schedule F - Accrued Expenses (Unpaid Bills),1678,1753,"['ethics', 'campaign', 'finance', 'accrued', 'expenses', 'unpaid', 'bills', 'fppc', 'form', '460', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-460-Schedule-F-Accrued-/tr8k-7cit,1524928065,2190,2
Economy and Community,1468275707,1468278419,Schools,1180,1734,"['public schools', 'private schools', 'child development centers', 'community college', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Economy-and-Community/Schools/tpp3-epx2,1468276809,657,657
Energy and Environment,1451608108,1453508297,San Francisco Municipal Greenhouse Gas Inventory,744,1666,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Energy-and-Environment/San-Francisco-Municipal-Greenhouse-Gas-Inventory/pxac-sadh,1453487583,850,850
City Management and Ethics,1335800778,1520535338,Campaign Finance - FPPC Form 465 - Supplemental Independent Expenditure Report - Part 3 - Independent Expenditures Made,1959,1643,"['ethics', 'campaign', 'finance', 'independent', 'expenditures', 'fppc', 'form', '465', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-465-Supplemental-Indepe/pyxa-3r7p,1524928075,2190,450
Health and Social Services,1380820215,1524862931,San Francisco Department of Public Health Flu Shot Locations 2013,2821,1615,"['phes', 'public health', 'flu', 'influenza', 'vaccines', 'vaccination', 'san francisco', 'environmental health', 'sfdph', 'sfphes', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Health-and-Social-Services/San-Francisco-Department-of-Public-Health-Flu-Shot/yg87-cd6v,1524862001,1669,1669
Energy and Environment,1451605426,1453508297,San Francisco Communitywide Greenhouse Gas Inventory,1670,1602,"['climate', 'greenhouse gas emissions', 'ghg inventory', 'climate change', 'communitywide', 'san francisco climate action strategy', 'carbon emissions', 'environment', 'sustainability', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Energy-and-Environment/San-Francisco-Communitywide-Greenhouse-Gas-Invento/btm4-e4ak,1453487548,850,850
City Infrastructure,1437600654,1514925597,Web Analytics for SFGov Sites - 2015 (Q1+Q2+Q3+Q4),1187,1583,"['web', 'analytics', 'sfgov', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Infrastructure/Web-Analytics-for-SFGov-Sites-2015-Q1-Q2-Q3-Q4-/yrfc-c5yu,1514925578,1012,842
Housing and Buildings,1450723978,1524939891,Fire Violations,932,1583,"['code violations', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Fire-Violations/4zuq-2cbe,1524939133,860,1
Housing and Buildings,1451336127,1524919753,Petitions to the Rent Board,958,1566,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/Petitions-to-the-Rent-Board/6swy-cmkq,1524916817,853,1
City Management and Ethics,1335668268,1524929002,Campaign Finance - FPPC Form 496 - Late Independent Expenditure Report - Independent Expenditures Made,2044,1564,"['ethics', 'campaign', 'finance', 'fppc', 'form', '496', 'late', 'independent', 'expenditure', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Campaign-Finance-FPPC-Form-496-Late-Independent-Ex/4fd4-wqps,1524928009,2192,1
City Management and Ethics,1321141998,1486593898,Job Titles by Classification,7981,1510,"['public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/City-Management-and-Ethics/Job-Titles-by-Classification/58un-vqfs,1486593365,2360,2360
Housing and Buildings,1430680496,1514675261,SF Development Pipeline 2014 Q4,999,1503,"['planning', 'development', 'construction', 'residential', 'commercial', 'public', 'data', 'statistics', 'dataset']",https://data.sfgov.org/Housing-and-Buildings/SF-Development-Pipeline-2014-Q4/858q-nwrm,1514675215,1092,362
